a2ps 4.14-12
a52dec 0.7.4-11
aalib 1.4rc5-14
abseil-cpp 20211102.0-2
accounts-qml-module 0.7-4
accountsservice 22.08.8-2
acl 2.3.1-2
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adobe-source-sans-fonts 3.046-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
akonadi-notes 22.04.2-1
alacritty 0.10.1-2
alsa-card-profiles 1:0.3.52-2
alsa-firmware 1.2.4-2
alsa-lib 1.2.7-2
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.7-1
alsa-utils 1.2.7-1
alsi 0.4.9-1
amdvlk 2022.Q2.2-1
analitza 22.04.2-1
anydesk-bin 6.1.1-5
aom 3.3.0-1
apm 2.6.5-4
apparmor 3.0.4-2
appstream 0.15.4-1
appstream-glib 0.7.18-2
appstream-qt 0.15.4-1
arandr 0.1.10-7
arc-gtk-theme 20220405-1
arc-icon-theme 20161122-3
arch-install-scripts 24-2
archiso 64-1
archlinux-appstream-data 20220512-1
archlinux-keyring 20220424-1
archlinux-logout-git 22.06-03
archlinux-logout-themes-git 22.06-02
archlinux-tweak-tool-dev-git 22.06-81
arcolinux-arc-kde 20220603-10
arcolinux-awesome-git 22.06-01
arcolinux-bin-git 22.05-02
arcolinux-candy-beauty-git 22.05-03
arcolinux-common-git 21.07-01
arcolinux-config-all-desktops-git 21.07-01
arcolinux-conky-collection-git 22.02-04
arcolinux-dconf-all-desktops-git 21.09-01
arcolinux-desktop-trasher-git 22.05-02
arcolinux-docs-git 21.07-01
arcolinux-dwm-slstatus-git 21.07-01
arcolinux-fonts-git 21.07-01
arcolinux-geany-git 21.07-01
arcolinux-grub-theme-vimix-git 20211231-11
arcolinux-gtk3-sardi-arc-git 21.07-01
arcolinux-hblock-git 3.3.2-2
arcolinux-i3wm-git 22.06-01
arcolinux-keyring 20230919-6
arcolinux-kvantum-git 22.06-01
