aalib 1.4rc5-17
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-sans-fonts 3.052-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.12.3-1
alci-grub-theme-git 23.03-37
alsa-lib 1.2.10-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
alsa-utils 1.2.10-1
amd-ucode 20231211.f2e52a1c-1
aom 3.8.0-2
appstream 1.0.1-1
appstream-qt5 1.0.1-1
arandr 0.1.11-2
arch-install-scripts 28-1
archinstall 2.7.1-1
archiso 73-1
archlinux-appstream-data 20231203-1
archlinux-keyring 20231207-1
archlinux-login-backgrounds-git 23.09-01
archlinux-tweak-tool-git 23.12-03
arcolinux-arc-aqua-git 23.06-01
arcolinux-arc-archlinux-blue-git 23.06-01
arcolinux-arc-arcolinux-blue-git 23.06-01
arcolinux-arc-azul-git 23.06-01
arcolinux-arc-azure-dodger-blue-git 23.06-01
arcolinux-arc-blood-git 23.06-01
arcolinux-arc-blue-sky-git 23.06-01
arcolinux-arc-blueberry-git 23.06-01
arcolinux-arc-botticelli-git 23.06-01
arcolinux-arc-bright-lilac-git 23.06-01
arcolinux-arc-bright-lime-green-git 23.06-01
arcolinux-arc-carnation-git 23.06-01
arcolinux-arc-carolina-blue-git 23.06-01
arcolinux-arc-casablanca-git 23.06-01
arcolinux-arc-cornflower-blue-git 23.06-01
arcolinux-arc-crimson-git 23.06-01
arcolinux-arc-darkish-git 23.06-01
arcolinux-arc-dawn-git 23.06-01
arcolinux-arc-emerald-git 23.06-01
arcolinux-arc-evopop-git 23.06-01
arcolinux-arc-fern-git 23.06-01
arcolinux-arc-fire-git 23.06-01
arcolinux-arc-froly-git 23.06-01
arcolinux-arc-grape-git 23.06-01
arcolinux-arc-havelock-git 23.06-01
arcolinux-arc-hibiscus-git 23.06-01
arcolinux-arc-light-blue-grey-git 23.06-01
arcolinux-arc-light-blue-surfn-git 23.06-01
arcolinux-arc-light-salmon-git 23.06-01
arcolinux-arc-mandy-git 23.06-01
arcolinux-arc-mantis-git 23.06-01
arcolinux-arc-medium-blue-git 23.06-01
arcolinux-arc-niagara-git 23.06-01
arcolinux-arc-nice-blue-git 23.06-01
arcolinux-arc-numix-git 23.06-01
arcolinux-arc-orchid-git 23.06-01
arcolinux-arc-pale-grey-git 23.06-01
arcolinux-arc-paper-git 23.06-01
arcolinux-arc-pink-git 23.06-01
arcolinux-arc-polo-git 23.06-01
arcolinux-arc-punch-git 23.06-01
arcolinux-arc-purpley-git 23.06-01
arcolinux-arc-red-orange-git 23.06-01
arcolinux-arc-red-violet-git 23.06-01
arcolinux-arc-rusty-orange-git 23.06-01
arcolinux-arc-sky-blue-git 23.06-01
arcolinux-arc-slate-grey-git 23.06-01
arcolinux-arc-smoke-git 23.06-01
arcolinux-arc-soft-blue-git 23.06-01
arcolinux-arc-tacao-git 23.06-01
arcolinux-arc-tangerine-git 23.06-01
arcolinux-arc-tory-git 23.06-01
arcolinux-arc-twilight-git 23.06-01
arcolinux-arc-warm-pink-git 23.06-01
arcolinux-keyring 20251209-3
arcolinux-meta-arc-theme 23.06-01
arcolinux-mirrorlist-git 23.06-01
arcolinux-welcome-app-git 23.12-10
argon2 20190702-5
assimp 5.3.1-1
at-spi2-core 2.50.0-1
attr 2.5.1-3
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
awesome-terminal-fonts 1.1.0-4
b43-fwcutter 019-4
baobab 45.0-1
base 3-2
base-devel 1-1
bash 5.2.021-1
bash-completion 2.11-3
bc 1.07.1-4
betterlockscreen-git v4.2.0.r0.g548f8f9-1
bibata-cursor-theme-bin 2.0.4-1
bind 9.18.20-1
binutils 2.41-3
bison 3.8.2-6
blas 3.12.0-3
bluez-libs 5.71-2
brasero 3.12.3+r24+gd01ba738-1
brltty 6.6-4
broadcom-wl-dkms 6.30.223.271-36
brotli 1.1.0-1
btrfs-progs 6.6.3-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
ca-certificates 20220905-1
ca-certificates-mozilla 3.95-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
cantarell-fonts 1:0.303.1-1
capitaine-cursors 4-2
catppuccin-cursors-git 22.07-01
cblas 3.12.0-3
cdparanoia 10.2-8
cdrdao 1.2.5-2
cdrtools 3.02a09-5
chaotic-keyring 20230616-1
chaotic-mirrorlist 20231212-1
cheese 44.1-2
chromaprint 1.5.1-7
cifs-utils 7.0-3
clonezilla 3.35.2-5
cloud-init 23.4-1
clutter 1.26.4-2
clutter-gst 3.0.27-4
clutter-gtk 1.8.4-3
cogl 1.22.8-2
colord 1.4.6-1
coreutils 9.4-2
cryptsetup 2.6.1-3
curl 8.5.0-1
darkhttpd 1.14-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dconf 0.40.0-2
ddrescue 1.27-1
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
dex 0.9.0-1
dhclient 4.4.3.P1-2
dhcpcd 10.0.5-1
diffutils 3.10-1
ding-libs 0.6.2-1
dkms 3.0.11-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dosfstools 4.2-3
double-conversion 3.3.0-1
dracula-cursors-git v4.0.0.r7.g247f957-1
drbl 2.30.5-3
duktape 2.7.0-6
dvd+rw-tools 7.1-9
e2fsprogs 1.47.0-1
ecryptfs-utils 111-8
edk2-shell 202311-1
efibootmgr 18-2
efivar 38-3
elementary-icon-theme 7.3.1-1
ell 0.61-1
endeavouros-keyring 20230523-1
endeavouros-mirrorlist 23.16-1
erofs-utils 1.7.1-1
espeak-ng 1.51.1-2
espeakup 0.90-2
ethtool 1:6.5-1
exfatprogs 1.2.2-1
exo 4.18.0-1
expat 2.5.0-1
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.11.1-1
fakeroot 1.32.2-1
fatresize 1.1.0-1
ffmpeg 2:6.1-3
fftw 3.3.10-4
file 5.45-1
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox 120.0.1-1
flac 1.4.3-1
flex 2.6.4-5
fluidsynth 2.3.4-1
fontconfig 2:2.14.2-1
foot-terminfo 1.16.2-2
freeglut 3.4.0-1
freetype2 2.13.2-1
frei0r-plugins 2.3.2-1
fribidi 1.0.13-2
fsarchiver 0.8.7-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
garcon 4.18.1-1
gawk 5.3.0-1
gc 8.2.4-1
gcc 13.2.1-3
gcc-libs 13.2.1-3
gcr 3.41.1-4
gcr-4 4.1.0-1
gdbm 1.23-2
gdk-pixbuf-xlib 2.40.2-2
gdk-pixbuf2 2.42.10-2
gettext 0.22.4-1
giflib 5.2.1-2
git 2.43.0-1
glib-networking 1:2.78.0-1
glib2 2.78.3-1
glibc 2.38-7
glslang 13.1.1-3
glu 9.0.3-1
gmp 6.3.0-1
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-video-effects 1:0.6.0-1
gnu-netcat 0.7.1-9
gnupg 2.4.3-2
gnutls 3.8.2-1
gobject-introspection-runtime 1.78.1-1
gpart 0.3-4
gperftools 2.13-2
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
grml-zsh-config 0.19.6-1
groff 1.23.0-5
grub 2:2.12rc1-7
gsettings-desktop-schemas 45.0-1
gsm 1.0.22-1
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-plugins-bad 1.22.8-1
gst-plugins-bad-libs 1.22.8-1
gst-plugins-base 1.22.8-1
gst-plugins-base-libs 1.22.8-1
gst-plugins-good 1.22.8-1
gstreamer 1.22.8-1
gtk-layer-shell 0.8.1-1
gtk-update-icon-cache 1:4.12.4-1
gtk3 1:3.24.38-1
gtk4 1:4.12.4-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.52.1-1
gzip 1.13-2
harfbuzz 8.3.0-2
hdparm 9.65-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.0.7-1
hunspell 1.7.2-1
hwdata 0.377-1
hwloc 2.9.1-1
hyperv 6.6-1
i3lock-color 2.13.c.5-1
iana-etc 20231117-1
icu 74.2-1
imagemagick 7.1.1.23-1
imath 3.1.9-2
imlib2 1.12.1-1
intel-ucode 20231114-1
iproute2 6.6.0-2
iptables 1:1.8.10-1
iputils 20221126-2
irssi 1.4.5-1
iso-codes 4.15.0-1
iw 5.19-2
iwd 2.11-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.1.1-1
jbigkit 2.1-7
jemalloc 1:5.3.0-3
jfsutils 1.1.15-8
json-c 0.17-1
json-glib 1.8.0-1
kbd 2.6.4-1
keyutils 1.6.3-2
kitty-terminfo 0.31.0-1
kmod 31-1
krb5 1.20.1-2
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-3
lbzip2 2.5-5
lcms2 2.16-1
ldns 1.8.3-2
less 1:643-1
lftp 4.9.2-2
libadwaita 1:1.4.2-1
libaio 0.3.113-2
libao 1.2.2-6
libappindicator-gtk3 12.10.0.r298-3
libarchive 3.7.2-1
libass 0.17.1-2
libassuan 2.5.6-1
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libavc1394 0.5.4-6
libavtp 0.2.0-2
libblockdev 3.0.4-1
libbluray 1.3.4-1
libbpf 1.3.0-1
libbs2b 3.1.0-8
libbsd 0.11.7-1
libburn 1.5.6-1
libbytesize 2.8-2
libcaca 0.99.beta20-2
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-3
libcap-ng 0.8.3-2
libcbor 0.10.2-1
libcdio 2.1.0-3
libcdio-paranoia 10.2+2.0.1-3
libcheese 44.1-2
libcloudproviders 0.3.5-1
libcolord 1.4.6-1
libcups 1:2.4.7-2
libdaemon 0.14-5
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.14-1
libdeflate 1.19-1
libdnet 1.17.0-1
libdovi 3.2.0-2
libdrm 2.4.118-1
libdv 1.0.0-11
libdvdnav 6.1.1-2
